,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Std_Combined
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,
VertexIndex,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,-0.2596520458906889,0.01048286651676432,-0.2832620143890381,-0.26784123480319977,-0.25962749123573303,-0.2520592734217643,-0.2323590070009231,400.0,0.015532097415998529,0.0030142962898409703,0.0064550004899501,0.01358674932271235,0.01553499884903425,0.017595749348402,0.0250669997185468,400.0,0.1330463346280157,0.013989021034299456,0.1028169989585876,0.1224575005471706,0.13400449603796005,0.1432542502880096,0.1629959940910339,0.017738917160563104
1,400.0,-0.26340184416621926,0.010962896280887835,-0.2884600162506103,-0.2714335024356842,-0.2633589804172516,-0.2553470134735107,-0.2348930090665817,400.0,-0.002608680007979245,0.003239240334012651,-0.0124379992485046,-0.004704000428318899,-0.00246200058609245,-0.00041399896144860004,0.0083020012825727,400.0,0.1390362427011132,0.014023350063892126,0.107354998588562,0.128879252821207,0.14052549749612805,0.14909425005316732,0.1695930063724517,0.018092322123526933
2,400.0,-0.08607351794838902,0.004887366271860864,-0.0970450043678283,-0.08942949771881102,-0.08613349497318265,-0.08307725191116333,-0.0729040205478668,400.0,0.02480434739030893,0.0028813874168287425,0.0191969983279705,0.022266249172389452,0.02467349823564285,0.027531749568879597,0.030273001641035,400.0,0.08934013996273275,0.010255852755673799,0.0693560019135475,0.08061750046908853,0.08933749794960019,0.0981875024735927,0.1105860024690628,0.011720548548052007
3,400.0,-0.08417687416076657,0.0048583317662277935,-0.095234990119934,-0.08732299506664275,-0.08418349921703336,-0.08119948208332058,-0.0712250173091888,400.0,0.007200257512740738,0.003685085441544739,4.800036549568176e-05,0.004030498676001949,0.0065305000171065,0.0105142500251531,0.0149490013718605,400.0,0.09037215514108535,0.010281902185501828,0.0698430016636848,0.0817885026335716,0.0904594995081424,0.09913599863648408,0.1119479984045028,0.011954110373191738
4,400.0,-0.10845014475286004,0.005694280721901368,-0.1207500100135803,-0.11236224323511118,-0.10848250985145566,-0.10492876172065731,-0.0932759940624237,400.0,0.01070056496653701,0.00447742105593937,0.0021619983017444,0.006679749116301525,0.0102675007656216,0.015021749306470124,0.0194230005145072,400.0,0.09230103269219395,0.010901673625950112,0.0698730051517486,0.0835285019129514,0.092824000865221,0.10133500210940835,0.1157110035419464,0.013088873904913402
5,400.0,-0.11034369975328442,0.00573871277538752,-0.1227079927921295,-0.11439225822687142,-0.11039450764656064,-0.10690573602914807,-0.0950190126895904,400.0,0.028278869898058424,0.0037098678273181276,0.0213229991495609,0.024955249391496123,0.02810499817132945,0.031675253063440274,0.034681998193264,400.0,0.091113470159471,0.010666533188924018,0.0697170048952102,0.08229225128889078,0.091510497033596,0.10006375052034851,0.1137290000915527,0.01266770989109648
6,400.0,-0.23349054519087076,0.009772891967583769,-0.2556729912757873,-0.2409447468817234,-0.23330699652433395,-0.22659325227141372,-0.2101710140705108,400.0,0.07661234265193338,0.0036248062286726767,0.0666500031948089,0.07385425083339207,0.0766850002110004,0.07922925427556032,0.0853559970855712,400.0,0.10272704241797324,0.009974614884565214,0.0827590003609657,0.09442225471138953,0.10333900153636925,0.11072425171732897,0.1234169974923133,0.014427112659880267
7,400.0,-0.23320227213203906,0.009801121888060744,-0.2551689743995666,-0.2405395060777664,-0.23307549208402628,-0.22627099603414527,-0.210408017039299,400.0,0.09470910448580977,0.0038756848618467944,0.084426000714302,0.09170924499630925,0.0946844965219497,0.0976182464510202,0.1036739945411682,400.0,0.08160946002230045,0.007775650887562386,0.0655369982123375,0.07506749965250488,0.08189999684691425,0.0879602506756782,0.0984029993414878,0.01309746808120644
