left_arm,left_forearm,left_thigh,left_leg
3234,4176,3478,3686
3235,4177,3479,3689
3256,4178,3481,3690
3257,4179,3484,3691
3258,4180,3502,3694
3259,4181,3504,3695
3264,4182,3505,3696
3265,4183,3527,3698
3266,4184,3528,3699
3267,4185,3529,3700
3302,4186,3530,3701
3303,4187,3531,3702
3304,4188,3532,3703
3305,4189,3533,3704
3310,4190,3534,3705
3311,4191,3535,3706
3312,4192,3536,3707
3313,4193,3537,3708
3342,4194,3538,3709
3343,4195,3539,3710
3344,4196,3540,3711
3345,4197,3541,3712
3346,4198,3563,3713
3347,4199,3564,3714
3348,4200,3565,3715
3349,4201,3566,3716
3385,4202,3575,3717
3386,4203,3576,3718
3387,4204,3577,3719
3388,4205,3578,3720
3401,4206,3579,3721
3402,4207,3580,3722
3403,4208,3581,3723
3404,4209,3582,3724
3405,4210,3583,3725
3406,4211,3584,3726
3407,4212,3585,3727
3408,4213,3586,3728
3409,4214,3587,3729
3410,4215,3588,3730
3411,4216,3589,3731
3412,4217,3590,3732
3416,4218,3591,3733
3417,4219,3592,3737
3418,4220,3593,3738
3419,4221,3594,3739
3420,4222,3595,3740
3421,4223,3596,3741
3422,4224,3597,3742
3423,4225,3598,3743
3424,4226,3599,3744
3425,4227,3600,3745
3834,4228,3601,3746
3835,4229,3602,3747
3868,4230,3603,3748
3869,4231,3604,3749
3870,4232,3605,3750
3871,4233,3606,3751
3898,4234,3607,3752
3899,4235,3608,3753
3900,4236,3609,3754
3901,4237,3610,3755
3911,4238,3611,3756
3912,4239,3612,3757
3913,4240,3613,3758
3920,4241,3614,3759
3921,4242,3615,3760
3922,4243,3616,3761
3923,4244,3617,3762
3924,4245,3618,3763
3925,4246,3619,3764
3926,4247,3620,3765
3927,4248,3621,3766
3947,4251,3622,3767
3948,4252,3623,3768
3951,4253,3624,3769
3952,4254,3625,3783
3973,4255,3626,3784
3974,4256,3627,3785
3975,4257,3628,3786
3976,4258,3629,3787
3987,4259,3630,3788
3988,4260,3631,3789
3989,4273,3632,3790
3990,4274,3633,3791
4007,4277,3634,3809
4008,4278,3635,3810
4009,4283,3636,3811
4010,4284,3637,3812
4011,4287,3638,3813
4012,4288,3639,3814
4013,4289,3640,3815
4014,4290,3641,3816
4015,4293,3642,3817
4016,4294,3643,4000
4017,4295,3644,4001
4018,4296,3645,4003
4019,4299,3646,4004
4020,4300,3647,4005
4021,4301,3648,4006
4022,4302,3649,4098
4023,4323,3650,4099
4024,4324,3651,4100
4025,4325,3652,4101
4026,4326,3653,4102
4027,4327,3654,4103
4028,4328,3655,4104
4029,4329,3656,4105
4030,4330,3657,4106
4031,4331,3658,4107
4032,4332,3659,4108
4033,4333,3660,4156
4034,4337,3661,4157
4035,4338,3662,4158
4036,4339,3663,4159
4037,4340,3664,4160
4038,4359,3665,4161
4039,4360,3666,4162
4040,4361,3667,4163
4042,4362,3668,4164
4043,4363,3669,5728
4044,4364,3670,5729
4045,4365,3671,5730
4046,4366,3672,5731
4047,4367,3673,5732
4048,4368,3674,5733
4060,4371,3675,5734
4061,4374,3676,5735
4062,4376,3677,5736
4063,4379,3678,5737
4064,4380,3679,5738
4067,4381,3680,5739
4072,4382,3681,5740
4073,4388,3682,5741
4074,4390,3683,5742
4075,4518,3684,5743
4076,4523,3685,5744
4077,4524,3687,5745
4078,4525,3688,5746
4079,4526,3692,5747
4135,4527,3693,5748
4138,4528,3697,5749
4139,4529,3774,5750
4140,4530,3775,5751
4141,4531,3776,5752
4142,4532,3777,5753
4143,4533,3778,5754
4168,4534,3779,5755
4169,4535,3780,5756
4170,4536,3781,5757
4171,4537,3782,5758
4172,4538,3800,5759
4173,4539,3801,5760
4174,4540,3802,5761
4175,4541,3803,5762
4249,4542,3805,5763
4250,4543,3806,5764
4251,4544,3807,5873
4252,4545,3808,5874
4261,4546,3818,5875
4262,4547,3819,5876
4263,4548,3820,5877
4264,4549,3821,5878
4265,4550,3992,5879
4266,4551,3995,5880
4267,4552,3996,5881
4268,4553,3997,5882
4269,4554,3998,5883
4270,4555,3999,5884
4271,4556,4087,5885
4272,4557,4089,5886
4275,4558,4090,5887
4276,4559,4091,5888
4277,4560,4092,5889
4278,4561,4093,8892
4281,4562,4094,8893
4282,4563,4095,8894
4283,4564,4096,8895
4284,4565,4097,8896
4285,4566,4149,8935
4286,4567,4150,
4287,4568,4151,
4288,4569,4152,
4289,4570,4153,
4290,4571,4154,
4295,4572,4155,
4296,4573,5700,
4301,4574,8936,
4302,4575,8937,
4303,4576,9020,
4304,4577,,
4305,4578,,
4306,4579,,
4307,4580,,
4308,4581,,
4309,4582,,
4310,4583,,
4311,4584,,
4312,4585,,
4313,4586,,
4314,4587,,
4315,4588,,
4316,4589,,
4317,4590,,
4318,4591,,
4319,4592,,
4322,4593,,
4334,4594,,
4335,4632,,
4336,4673,,
4341,4674,,
4342,4686,,
4343,4703,,
4344,4712,,
4345,4713,,
4346,4714,,
4347,4715,,
4348,4716,,
4349,4717,,
4350,4718,,
4351,4719,,
4352,4720,,
4353,4721,,
4354,4722,,
4355,4723,,
4356,4724,,
4357,4725,,
4358,4726,,
4363,4761,,
4369,4762,,
4370,4820,,
4371,4821,,
4372,4822,,
4373,4823,,
4375,4842,,
4377,4844,,
4378,4848,,
4383,4849,,
4384,4855,,
4385,4856,,
4386,4857,,
4387,4858,,
4389,4893,,
4397,4900,,
4398,5377,,
4447,5451,,
4448,5452,,
4449,,,
4450,,,
4458,,,
4459,,,
4460,,,
4461,,,
4462,,,
4463,,,
4464,,,
4465,,,
4466,,,
4468,,,
4469,,,
4470,,,
4471,,,
4472,,,
4473,,,
4474,,,
4475,,,
4476,,,
4477,,,
4478,,,
4479,,,
4480,,,
4483,,,
4484,,,
4485,,,
4486,,,
4487,,,
4488,,,
4489,,,
4490,,,
4492,,,
4493,,,
4494,,,
4495,,,
4496,,,
4497,,,
4498,,,
4499,,,
4500,,,
4501,,,
4502,,,
4503,,,
4504,,,
4505,,,
4506,,,
4507,,,
4508,,,
4509,,,
4510,,,
4514,,,
4516,,,
4518,,,
4519,,,
4520,,,
4521,,,
4522,,,
4523,,,
5397,,,
5398,,,
5399,,,
5400,,,
5467,,,
5468,,,
5469,,,
5470,,,
5471,,,
5472,,,
5473,,,
5474,,,
5475,,,
5476,,,
5477,,,
5478,,,
5479,,,
5480,,,
5539,,,
5540,,,
5541,,,
5542,,,
5543,,,
5544,,,
5572,,,
5573,,,
5576,,,
5577,,,
5578,,,
5579,,,
5580,,,
5581,,,
5582,,,
5583,,,
5584,,,
5585,,,
5586,,,
5587,,,
5588,,,
5589,,,
5590,,,
5591,,,
5592,,,
5593,,,
5594,,,
5595,,,
5597,,,
5602,,,
5605,,,
5606,,,
5607,,,
5608,,,
5609,,,
5624,,,
5625,,,
5626,,,
5627,,,
5628,,,
